   id,      z_2d,      z_1d,     zs_1d,        dx,         b,         n
  101,   159.833,   157.833,   156.833,    10.000,    10.000,   0.05000
  102,   161.341,   159.341,   158.341,    10.000,    10.000,   0.05000
  103,   165.075,   163.075,   162.075,    14.142,    10.000,   0.05000
  104,   174.353,   172.353,   171.353,    10.000,    10.000,   0.05000
  105,   170.918,   168.918,   167.918,    14.142,    10.000,   0.05000
  106,   178.634,   176.634,   175.634,    10.000,    10.000,   0.05000
  107,   175.894,   173.894,   172.894,    14.142,    10.000,   0.05000
  108,   180.775,   178.775,   177.775,    14.142,    10.000,   0.05000
  109,   185.068,   183.068,   182.068,    14.142,    10.000,   0.05000
  110,   187.152,   185.152,   184.152,    10.000,    10.000,   0.05000
  111,   190.557,   188.557,   187.557,    10.000,    10.000,   0.05000
  112,   193.634,   191.634,   190.634,    14.142,    10.000,   0.05000
  113,   195.146,   193.146,   192.146,    10.000,    10.000,   0.05000
  114,   197.294,   195.294,   194.294,    10.000,    10.000,   0.05000
  115,   199.329,   197.329,   196.329,    10.000,    10.000,   0.05000
  116,   201.667,   199.667,   198.667,    14.142,    10.000,   0.05000
  117,   203.749,   201.749,   200.749,    10.000,    10.000,   0.05000
  118,   206.720,   204.720,   203.720,    14.142,    10.000,   0.05000
  119,   210.525,   208.525,   207.525,    14.142,    10.000,   0.05000
  120,   213.429,   211.429,   210.429,    14.142,    10.000,   0.05000
  121,   215.724,   213.724,   212.724,    10.000,    10.000,   0.05000
  122,   216.481,   214.481,   213.481,    14.142,    10.000,   0.05000
  123,   219.804,   217.804,   216.804,    14.142,    10.000,   0.05000
  124,   222.199,   220.199,   219.199,    10.000,    10.000,   0.05000
  125,   226.495,   224.495,   223.495,    10.000,    10.000,   0.05000
  126,   234.263,   232.263,   231.263,    14.142,    10.000,   0.05000
  127,   242.052,   240.052,   239.052,    14.142,    10.000,   0.05000
  128,   249.504,   247.504,   246.504,    14.142,    10.000,   0.05000
  129,   252.045,   250.045,   249.045,    14.142,    10.000,   0.05000
  130,   255.427,   253.427,   252.427,    14.142,    10.000,   0.05000
  131,   258.646,   256.646,   255.646,    14.142,    10.000,   0.05000
  132,   262.607,   260.607,   259.607,    10.000,    10.000,   0.05000
  133,   261.200,   259.200,   258.200,    14.142,    10.000,   0.05000
  134,   264.892,   262.892,   261.892,    14.142,    10.000,   0.05000
