   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
   31  1154.26200     0.00908     0.00073     0.00010     0.00000     0.00000  1000.00000     0.00000  1154.26200    -0.58669     0.88991     0.00008     0.94209     0.25606           1   0.42599E+003   0.00000E+000   0.00000E+000
   32  1336.31400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1336.31400    -1.09150     1.14919     0.00017     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   33   971.05700     0.00908     0.00031     0.00004     0.00000     0.00000  1000.00000     0.00000   971.05700    -0.16212     1.96387     0.00005     0.37644     1.00000           0   0.13313E+003   0.00000E+000   0.00000E+000
   34  1147.32600     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1147.32600    -0.65851     1.38605     0.00013     1.22590     0.18256           0   0.23696E+003   0.00000E+000   0.00000E+000
   35  1138.68700     0.00908     0.00067     0.00009     0.00000     0.00000  1000.00000     0.00000  1138.68700    -0.55082     1.03384     0.00008     0.92650     0.32186           1   0.78090E+003   0.00000E+000   0.00000E+000
   36  1141.31500     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1141.31500    -0.72827     0.63493     0.00007     1.07220     0.07625           0   0.23707E+003   0.00000E+000   0.00000E+000
   37  1120.02500     0.00909     0.00095     0.00016     0.00000     0.00000  1000.00000     0.00000  1120.02500    -0.49712     0.33771     0.00002     0.68099     0.38548           1   0.17767E+004   0.00000E+000   0.00000E+000
   38  1129.37100     0.00909     0.00073     0.00010     0.00000     0.00000  1000.00000     0.00000  1129.37100    -0.31153     1.27074     0.00007     0.57209     0.70903           1   0.11469E+004   0.00000E+000   0.00000E+000
   39  1252.11000     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1252.11000    -0.78233     1.94675     0.00023     0.00000     0.00000           0   0.54356E+003   0.00000E+000   0.00000E+000
   40  1290.00600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1290.00600    -1.03493     1.49212     0.00022     1.91576     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   41  1516.50400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1516.50400    -0.55959     1.47265     0.00013     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   42   990.39900     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   990.39900    -0.26747     1.97949     0.00009     0.00000     0.00000           0   0.40617E+003   0.00000E+000   0.00000E+000
   43   982.37500     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   982.37500    -0.14847     1.31123     0.00003     0.27772     1.00000           0   0.40209E+003   0.00000E+000   0.00000E+000
   44   977.92100     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   977.92100    -0.13717     1.26191     0.00003     0.25264     1.00000           0   0.39801E+003   0.00000E+000   0.00000E+000
   45   973.80600     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   973.80600    -0.28930     1.19844     0.00005     0.51977     0.75249           0   0.39393E+003   0.00000E+000   0.00000E+000
   46   965.12700     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   965.12700    -0.11851     1.10649     0.00002     0.20791     1.00000           0   0.38815E+003   0.00000E+000   0.00000E+000
   47   964.17900     0.00908     0.00031     0.00004     0.00000     0.00000  1000.00000     0.00000   964.17900    -0.30158     1.72726     0.00008     0.64267     0.72762           0   0.12735E+003   0.00000E+000   0.00000E+000
   48  1057.42400     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1057.42400    -0.57969     1.97093     0.00017     0.00000     0.00000           0   0.57364E+003   0.00000E+000   0.00000E+000
   49  1102.97200     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1102.97200    -0.60107     1.41993     0.00013     1.13635     0.23670           1   0.40260E+003   0.00000E+000   0.00000E+000
   50  1119.38800     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1119.38800    -0.54720     1.99157     0.00017     1.25422     0.31094           1   0.40837E+003   0.00000E+000   0.00000E+000
   51  1115.31800     0.00908     0.00067     0.00009     0.00000     0.00000  1000.00000     0.00000  1115.31800    -0.67893     1.97313     0.00020     1.52798     0.15818           1   0.87163E+003   0.00000E+000   0.00000E+000
   52  1119.46700     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1119.46700    -0.55822     0.57050     0.00004     0.81606     0.31166           0   0.23129E+003   0.00000E+000   0.00000E+000
   53  1098.93400     0.00912     0.00117     0.00016     0.00000     0.00000  1000.00000     0.00000  1098.93400    -0.07425     2.00000     0.00002     0.17491     1.00000           1   0.21598E+004   0.00000E+000   0.00000E+000
   54  1136.15400     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1136.15400    -0.15988     1.76050     0.00005     0.34637     1.00000           0   0.72501E+003   0.00000E+000   0.00000E+000
   55  1179.84500     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1179.84500    -0.51600     1.97369     0.00016     0.00000     0.00000           0   0.33279E+003   0.00000E+000   0.00000E+000
   56  1242.01200     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1242.01200    -0.91020     1.93905     0.00026     0.00000     0.00000           0   0.51603E+003   0.00000E+000   0.00000E+000
   57  1228.64000     0.00908     0.00031     0.00009     0.00000     0.00000  1000.00000     0.00000  1228.64000    -0.47547     2.00000     0.00014     1.09928     0.41822           1   0.74530E+003   0.00000E+000   0.00000E+000
   58  1258.95800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1258.95800    -0.87236     1.00848     0.00013     1.41532     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   59  1492.76300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1492.76300    -1.29758     1.08128     0.00016     2.06146     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   60  1026.73200     0.00908     0.00045     0.00006     0.00000     0.00000  1000.00000     0.00000  1026.73200    -0.24157     1.63505     0.00006     0.50057     0.85794           0   0.68797E+003   0.00000E+000   0.00000E+000
   61   960.09900     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   960.09900    -0.12921     1.41620     0.00003     0.25009     1.00000           0   0.38238E+003   0.00000E+000   0.00000E+000
   62   951.38400     0.00909     0.00046     0.00008     0.00000     0.00000  1000.00000     0.00000   951.38400    -0.12532     2.00000     0.00004     0.29496     1.00000           0   0.23031E+003   0.00000E+000   0.00000E+000
   63  1032.83000     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1032.83000    -0.63228     1.83594     0.00018     1.36489     0.19396           0   0.56786E+003   0.00000E+000   0.00000E+000
   64  1077.47100     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1077.47100    -0.42493     1.99955     0.00013     0.98591     0.50086           1   0.52556E+003   0.00000E+000   0.00000E+000
   65  1094.95000     0.00909     0.00078     0.00012     0.00000     0.00000  1000.00000     0.00000  1094.95000    -0.54623     2.00000     0.00017     1.25573     0.32238           1   0.10070E+004   0.00000E+000   0.00000E+000
   66  1095.78400     0.00909     0.00117     0.00016     0.00000     0.00000  1000.00000     0.00000  1095.78400    -0.59889     1.98131     0.00018     1.36178     0.23826           1   0.27432E+004   0.00000E+000   0.00000E+000
   67  1157.95300     0.00907     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1157.95300    -0.51381     1.21092     0.00009     0.91531     0.35937           0   0.73078E+003   0.00000E+000   0.00000E+000
   68  1214.70600     0.00909     0.00041     0.00011     0.00000     0.00000  1000.00000     0.00000  1214.70600    -0.47753     2.00000     0.00015     1.10389     0.44826           1   0.54037E+003   0.00000E+000   0.00000E+000
   69  1214.37600     0.00908     0.00063     0.00009     0.00000     0.00000  1000.00000     0.00000  1214.37600    -0.52453     1.99550     0.00016     1.20616     0.34325           1   0.77228E+003   0.00000E+000   0.00000E+000
