          93
      12195.000,      -9825.000,    1,  281,   54, 1573, 1573,
      12185.000,      -9815.000,    2,  280,   55, 1573, 1573,
      12175.000,      -9805.000,    3,  279,   56, 1573, 1573,
      12165.000,      -9795.000,    4,  278,   57, 1586, 1586,
      12155.000,      -9785.000,    5,  277,   58, 1586, 1586,
      12145.000,      -9775.000,    6,  276,   59, 1586, 1586,
      12135.000,      -9765.000,    7,  275,   60, 1598, 1598,
      12135.000,      -9755.000,    8,  275,   61, 1598, 1598,
      12135.000,      -9745.000,    9,  275,   62, 1598, 1598,
      12135.000,      -9735.000,   10,  275,   63, 1608, 1608,
      12135.000,      -9725.000,   11,  275,   64, 1608, 1608,
      12135.000,      -9715.000,   12,  275,   65, 1608, 1608,
      12135.000,      -9705.000,   13,  275,   66, 1622, 1622,
      12135.000,      -9695.000,   14,  275,   67, 1622, 1622,
      12135.000,      -9685.000,   15,  275,   68, 1622, 1622,
      12135.000,      -9675.000,   16,  275,   69, 1630, 1630,
      12135.000,      -9665.000,   17,  275,   70, 1630, 1630,
      12135.000,      -9655.000,   18,  275,   71, 1630, 1630,
      12135.000,      -9645.000,   19,  275,   72, 1643, 1643,
      12125.000,      -9635.000,   20,  274,   73, 1643, 1643,
      12115.000,      -9625.000,   21,  273,   74, 1643, 1643,
      12105.000,      -9615.000,   22,  272,   75, 1656, 1656,
      12115.000,      -9605.000,   23,  273,   76, 1656, 1656,
      12125.000,      -9595.000,   24,  274,   77, 1656, 1656,
      12135.000,      -9555.000,   25,  275,   81, 1680, 1680,
      12135.000,      -9545.000,   26,  275,   82, 1680, 1680,
      12135.000,      -9535.000,   27,  275,   83, 1680, 1680,
      12135.000,      -9525.000,   28,  275,   84, 1692, 1692,
      12125.000,      -9515.000,   29,  274,   85, 1692, 1692,
      12115.000,      -9505.000,   30,  273,   86, 1692, 1692,
      12105.000,      -9495.000,   31,  272,   87, 1707, 1707,
      12105.000,      -9485.000,   32,  272,   88, 1707, 1707,
      12105.000,      -9475.000,   33,  272,   89, 1707, 1707,
      12105.000,      -9465.000,   34,  272,   90, 1718, 1718,
      12095.000,      -9455.000,   35,  271,   91, 1718, 1718,
      12085.000,      -9445.000,   36,  270,   92, 1718, 1718,
      12015.000,      -9435.000,   37,  263,   93, 1730, 1730,
      12005.000,      -9425.000,   38,  262,   94, 1730, 1730,
      11995.000,      -9415.000,   39,  261,   95, 1730, 1730,
      12045.000,      -9435.000,   40,  266,   93, 1731, 1731,
      12035.000,      -9435.000,   41,  265,   93, 1731, 1731,
      12025.000,      -9435.000,   42,  264,   93, 1731, 1731,
      12075.000,      -9435.000,   43,  269,   93, 1732, 1732,
      12065.000,      -9435.000,   44,  268,   93, 1732, 1732,
      12055.000,      -9435.000,   45,  267,   93, 1732, 1732,
      11865.000,      -9405.000,   46,  248,   96, 1746, 1746,
      11855.000,      -9395.000,   47,  247,   97, 1746, 1746,
      11845.000,      -9385.000,   48,  246,   98, 1746, 1746,
      11895.000,      -9405.000,   49,  251,   96, 1747, 1747,
      11885.000,      -9405.000,   50,  250,   96, 1747, 1747,
