   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
   31  1154.26200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1154.26200    -0.58669     0.89001     0.00008     0.93970     0.27333           0   0.00000E+000   0.00000E+000   0.00000E+000
   32  1336.31400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1336.31400    -1.09150     1.14906     0.00017     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   33   971.05700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   971.05700    -0.16212     1.96387     0.00005     0.37558     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   34  1147.32600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1147.32600    -0.65851     1.38609     0.00013     1.22294     0.18256           0   0.00000E+000   0.00000E+000   0.00000E+000
   35  1138.68700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1138.68700    -0.55082     1.03384     0.00008     0.92417     0.32186           1   0.00000E+000   0.00000E+000   0.00000E+000
   36  1141.31500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1141.31500    -0.72827     0.63491     0.00007     1.06937     0.09335           0   0.00000E+000   0.00000E+000   0.00000E+000
   37  1120.02500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1120.02500    -0.49712     0.33781     0.00002     0.67915     0.39891           0   0.00000E+000   0.00000E+000   0.00000E+000
   38  1129.37100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1129.37100    -0.31153     1.27080     0.00007     0.57069     0.71439           0   0.00000E+000   0.00000E+000   0.00000E+000
   39  1252.11000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1252.11000    -0.78233     1.94650     0.00023     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   40  1290.00600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1290.00600    -1.03493     1.49206     0.00022     1.91573     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   41  1516.50400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1516.50400    -0.55959     1.47255     0.00013     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   42   990.39900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   990.39900    -0.26747     1.97940     0.00009     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   43   982.37500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   982.37500    -0.14847     1.31129     0.00003     0.27704     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   44   977.92100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   977.92100    -0.13717     1.26191     0.00003     0.25202     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   45   973.80600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   973.80600    -0.28930     1.19841     0.00005     0.51848     0.75832           0   0.00000E+000   0.00000E+000   0.00000E+000
   46   965.12700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   965.12700    -0.11851     1.10652     0.00002     0.20740     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   47   964.17900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   964.17900    -0.30158     1.72724     0.00008     0.64117     0.72809           0   0.00000E+000   0.00000E+000   0.00000E+000
   48  1057.42400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1057.42400    -0.57969     1.97080     0.00017     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   49  1102.97200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1102.97200    -0.60107     1.41996     0.00013     1.13362     0.25449           0   0.00000E+000   0.00000E+000   0.00000E+000
   50  1119.38800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1119.38800    -0.54720     1.99153     0.00017     1.25135     0.32688           0   0.00000E+000   0.00000E+000   0.00000E+000
   51  1115.31800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1115.31800    -0.67893     1.97300     0.00020     1.52442     0.15223           1   0.00000E+000   0.00000E+000   0.00000E+000
   52  1119.46700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1119.46700    -0.55822     0.57052     0.00004     0.81389     0.31166           0   0.00000E+000   0.00000E+000   0.00000E+000
   53  1098.93400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1098.93400    -0.07425     2.00000     0.00002     0.17451     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   54  1136.15400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1136.15400    -0.15988     1.76054     0.00005     0.34557     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   55  1179.84500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1179.84500    -0.51600     1.97357     0.00016     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   56  1242.01200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1242.01200    -0.91020     1.93876     0.00026     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   57  1228.64000     0.00004     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1228.64000    -0.47547     2.00000     0.00014     1.09679     0.43160           1   0.00000E+000   0.00000E+000   0.00000E+000
   58  1258.95800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1258.95800    -0.87258     1.00855     0.00013     1.41535     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   59  1492.76300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1492.76300    -1.29758     1.08125     0.00016     2.06144     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   60  1026.73200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1026.73200    -0.24157     1.63501     0.00006     0.49938     0.85794           0   0.00000E+000   0.00000E+000   0.00000E+000
   61   960.09900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   960.09900    -0.12921     1.41619     0.00003     0.24949     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
   62   951.38400     0.00001     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000   951.38400    -0.12532     2.00000     0.00004     0.29428     1.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
