   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
    1  1259.63100     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1259.63100    -0.94190     1.93297     0.00028     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
    2  1265.59900     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1265.59900    -0.82853     1.94196     0.00024     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
    3  1240.37600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1240.37600    -0.87140     1.95421     0.00026     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
    4  1231.37400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1231.37400    -0.93227     1.49675     0.00021     1.74709     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
    5  1240.74300     0.00001     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1240.74300    -0.65285     2.00000     0.00020     1.48309     0.18941           1   0.00000E+000   0.00000E+000   0.00000E+000
    6  1203.40600     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1203.40600    -0.53827     1.98782     0.00016     1.23028     0.32414           0   0.00000E+000   0.00000E+000   0.00000E+000
    7  1213.04500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1213.04500    -0.57290     2.00000     0.00018     1.31102     0.27540           1   0.00000E+000   0.00000E+000   0.00000E+000
    8  1267.55200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1267.55200    -0.71970     1.96337     0.00022     0.00000     0.00000           0   0.00000E+000   0.00000E+000   0.00000E+000
    9  1187.25800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1187.25800    -0.42543     1.86546     0.00012     0.94071     0.51095           0   0.00000E+000   0.00000E+000   0.00000E+000
   10  1195.85800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1195.85800    -0.81293     1.12842     0.00014     1.37491     0.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   11  1237.01800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000  1237.01800    -0.69389     1.36285     0.00014     1.27540     0.11706           0   0.00000E+000   0.00000E+000   0.00000E+000
