    3,# of div
x,y,i2d,j2d,i1d,itr,dist
      12445.000,     -10035.000,  306,   33,      1508,    3,     0.000
      12705.000,     -10035.000,  332,   33,      1509,    1,     0.000
      12705.000,     -10045.000,  332,   32,      1509,    2,     0.000
      12705.000,     -10055.000,  332,   31,      1509,    3,     0.000
      12285.000,     -10005.000,  290,   36,      1513,    1,     0.000
      12285.000,      -9995.000,  290,   37,      1513,    2,     0.000
      12285.000,      -9985.000,  290,   38,      1513,    3,     0.000
      12405.000,     -10005.000,  302,   36,      1514,    1,     0.000
      12405.000,      -9995.000,  302,   37,      1514,    2,     0.000
      12405.000,      -9985.000,  302,   38,      1514,    3,     0.000
      12735.000,     -10005.000,  335,   36,      1515,    1,     0.000
      12725.000,     -10015.000,  334,   35,      1515,    2,     0.000
      12715.000,     -10025.000,  333,   34,      1515,    3,     0.000
      12285.000,      -9975.000,  290,   39,      1521,    1,     0.000
      12285.000,      -9965.000,  290,   40,      1521,    2,     0.000
      12285.000,      -9955.000,  290,   41,      1521,    3,     0.000
      12405.000,      -9975.000,  302,   39,      1522,    1,     0.000
      12395.000,      -9965.000,  301,   40,      1522,    2,     0.000
      12385.000,      -9955.000,  300,   41,      1522,    3,     0.000
      12435.000,      -9975.000,  305,   39,      1523,    1,     0.000
      12425.000,      -9975.000,  304,   39,      1523,    2,     0.000
      12415.000,      -9975.000,  303,   39,      1523,    3,     0.000
      12465.000,      -9975.000,  308,   39,      1524,    1,     0.000
      12455.000,      -9975.000,  307,   39,      1524,    2,     0.000
      12445.000,      -9975.000,  306,   39,      1524,    3,     0.000
      12495.000,      -9975.000,  311,   39,      1525,    1,     0.000
      12485.000,      -9975.000,  310,   39,      1525,    2,     0.000
      12475.000,      -9975.000,  309,   39,      1525,    3,     0.000
      12525.000,      -9975.000,  314,   39,      1526,    1,     0.000
      12515.000,      -9975.000,  313,   39,      1526,    2,     0.000
      12505.000,      -9975.000,  312,   39,      1526,    3,     0.000
      12765.000,      -9975.000,  338,   39,      1527,    1,     0.000
      12755.000,      -9985.000,  337,   38,      1527,    2,     0.000
      12745.000,      -9995.000,  336,   37,      1527,    3,     0.000
      12795.000,      -9975.000,  341,   39,      1528,    1,     0.000
      12785.000,      -9975.000,  340,   39,      1528,    2,     0.000
      12775.000,      -9975.000,  339,   39,      1528,    3,     0.000
      12285.000,      -9945.000,  290,   42,      1533,    1,     0.000
      12295.000,      -9935.000,  291,   43,      1533,    2,     0.000
      12305.000,      -9925.000,  292,   44,      1533,    3,     0.000
      12345.000,      -9945.000,  296,   42,      1534,    1,     0.000
      12335.000,      -9935.000,  295,   43,      1534,    2,     0.000
      12325.000,      -9925.000,  294,   44,      1534,    3,     0.000
      12375.000,      -9945.000,  299,   42,      1535,    1,     0.000
      12365.000,      -9945.000,  298,   42,      1535,    2,     0.000
      12355.000,      -9945.000,  297,   42,      1535,    3,     0.000
      12555.000,      -9945.000,  317,   42,      1536,    1,     0.000
      12545.000,      -9955.000,  316,   41,      1536,    2,     0.000
      12535.000,      -9965.000,  315,   40,      1536,    3,     0.000
      12585.000,      -9945.000,  320,   42,      1537,    1,     0.000
      12575.000,      -9945.000,  319,   42,      1537,    2,     0.000
      12565.000,      -9945.000,  318,   42,      1537,    3,     0.000
      12315.000,      -9915.000,  293,   45,      1544,    1,     0.000
      12305.000,      -9905.000,  292,   46,      1544,    2,     0.000
      12295.000,      -9895.000,  291,   47,      1544,    3,     0.000
      12405.000,      -9915.000,  302,   45,      1545,    1,     0.000
      12395.000,      -9925.000,  301,   44,      1545,    2,     0.000
      12385.000,      -9935.000,  300,   43,      1545,    3,     0.000
      12615.000,      -9915.000,  323,   45,      1546,    1,     0.000
      12605.000,      -9925.000,  322,   44,      1546,    2,     0.000
      12595.000,      -9935.000,  321,   43,      1546,    3,     0.000
      12645.000,      -9915.000,  326,   45,      1547,    1,     0.000
      12635.000,      -9905.000,  325,   46,      1547,    2,     0.000
      12625.000,      -9895.000,  324,   47,      1547,    3,     0.000
      12675.000,      -9915.000,  329,   45,      1548,    1,     0.000
      12665.000,      -9915.000,  328,   45,      1548,    2,     0.000
      12655.000,      -9915.000,  327,   45,      1548,    3,     0.000
      12285.000,      -9885.000,  290,   48,      1554,    1,     0.000
      12275.000,      -9875.000,  289,   49,      1554,    2,     0.000
      12265.000,      -9865.000,  288,   50,      1554,    3,     0.000
      12315.000,      -9885.000,  293,   48,      1555,    1,     0.000
      12305.000,      -9885.000,  292,   48,      1555,    2,     0.000
      12295.000,      -9885.000,  291,   48,      1555,    3,     0.000
      12615.000,      -9885.000,  323,   48,      1556,    1,     0.000
      12615.000,      -9895.000,  323,   47,      1556,    2,     0.000
      12615.000,      -9905.000,  323,   46,      1556,    3,     0.000
      12255.000,      -9855.000,  287,   51,      1562,    1,     0.000
      12245.000,      -9845.000,  286,   52,      1562,    2,     0.000
      12235.000,      -9835.000,  285,   53,      1562,    3,     0.000
      12345.000,      -9855.000,  296,   51,      1563,    1,     0.000
      12335.000,      -9865.000,  295,   50,      1563,    2,     0.000
      12325.000,      -9875.000,  294,   49,      1563,    3,     0.000
      12645.000,      -9855.000,  326,   51,      1564,    1,     0.000
      12635.000,      -9865.000,  325,   50,      1564,    2,     0.000
      12625.000,      -9875.000,  324,   49,      1564,    3,     0.000
      12045.000,      -9825.000,  266,   54,      1572,    1,     0.000
      12035.000,      -9815.000,  265,   55,      1572,    2,     0.000
      12025.000,      -9805.000,  264,   56,      1572,    3,     0.000
      12195.000,      -9825.000,  281,   54,      1573,    1,     0.000
      12185.000,      -9815.000,  280,   55,      1573,    2,     0.000
      12175.000,      -9805.000,  279,   56,      1573,    3,     0.000
      12225.000,      -9825.000,  284,   54,      1574,    1,     0.000
      12215.000,      -9825.000,  283,   54,      1574,    2,     0.000
      12205.000,      -9825.000,  282,   54,      1574,    3,     0.000
      12375.000,      -9825.000,  299,   54,      1575,    1,     0.000
      12365.000,      -9835.000,  298,   53,      1575,    2,     0.000
      12355.000,      -9845.000,  297,   52,      1575,    3,     0.000
      12645.000,      -9825.000,  326,   54,      1576,    1,     0.000
      12645.000,      -9835.000,  326,   53,      1576,    2,     0.000
      12645.000,      -9845.000,  326,   52,      1576,    3,     0.000
      12015.000,      -9795.000,  263,   57,      1585,    1,     0.000
      12015.000,      -9785.000,  263,   58,      1585,    2,     0.000
      12015.000,      -9775.000,  263,   59,      1585,    3,     0.000
      12165.000,      -9795.000,  278,   57,      1586,    1,     0.000
      12155.000,      -9785.000,  277,   58,      1586,    2,     0.000
      12145.000,      -9775.000,  276,   59,      1586,    3,     0.000
      12405.000,      -9795.000,  302,   57,      1587,    1,     0.000
