         435
x,y,i,j
      13015.000,      -2550.000,  363,  782
      10345.000,      -2540.000,   96,  783
      12995.000,      -2540.000,  361,  783
      13005.000,      -2540.000,  362,  783
      10355.000,      -2530.000,   97,  784
      12985.000,      -2530.000,  360,  784
      10365.000,      -2520.000,   98,  785
      12965.000,      -2520.000,  358,  785
      12975.000,      -2520.000,  359,  785
      10375.000,      -2510.000,   99,  786
      10385.000,      -2510.000,  100,  786
      12955.000,      -2510.000,  357,  786
      10395.000,      -2500.000,  101,  787
      12935.000,      -2500.000,  355,  787
      12945.000,      -2500.000,  356,  787
      10405.000,      -2490.000,  102,  788
      12925.000,      -2490.000,  354,  788
      10415.000,      -2480.000,  103,  789
      12905.000,      -2480.000,  352,  789
      12915.000,      -2480.000,  353,  789
      10425.000,      -2470.000,  104,  790
      12885.000,      -2470.000,  350,  790
      12895.000,      -2470.000,  351,  790
      10435.000,      -2460.000,  105,  791
      10445.000,      -2460.000,  106,  791
      12875.000,      -2460.000,  349,  791
      10455.000,      -2450.000,  107,  792
      12855.000,      -2450.000,  347,  792
      12865.000,      -2450.000,  348,  792
      10465.000,      -2440.000,  108,  793
      12845.000,      -2440.000,  346,  793
      10475.000,      -2430.000,  109,  794
      12825.000,      -2430.000,  344,  794
      12835.000,      -2430.000,  345,  794
      10485.000,      -2420.000,  110,  795
      12815.000,      -2420.000,  343,  795
      10495.000,      -2410.000,  111,  796
      10505.000,      -2410.000,  112,  796
      12795.000,      -2410.000,  341,  796
      12805.000,      -2410.000,  342,  796
      10515.000,      -2400.000,  113,  797
      12785.000,      -2400.000,  340,  797
      10525.000,      -2390.000,  114,  798
      12765.000,      -2390.000,  338,  798
      12775.000,      -2390.000,  339,  798
      10535.000,      -2380.000,  115,  799
      12755.000,      -2380.000,  337,  799
      10545.000,      -2370.000,  116,  800
      12735.000,      -2370.000,  335,  800
      12745.000,      -2370.000,  336,  800
      10555.000,      -2360.000,  117,  801
      10565.000,      -2360.000,  118,  801
      12725.000,      -2360.000,  334,  801
      10575.000,      -2350.000,  119,  802
      12705.000,      -2350.000,  332,  802
      12715.000,      -2350.000,  333,  802
      10585.000,      -2340.000,  120,  803
      12685.000,      -2340.000,  330,  803
      12695.000,      -2340.000,  331,  803
      10595.000,      -2330.000,  121,  804
      12675.000,      -2330.000,  329,  804
      10605.000,      -2320.000,  122,  805
      10615.000,      -2320.000,  123,  805
      12655.000,      -2320.000,  327,  805
      12665.000,      -2320.000,  328,  805
      10625.000,      -2310.000,  124,  806
      10635.000,      -2310.000,  125,  806
      12645.000,      -2310.000,  326,  806
      10645.000,      -2300.000,  126,  807
      10655.000,      -2300.000,  127,  807
      12625.000,      -2300.000,  324,  807
      12635.000,      -2300.000,  325,  807
      10665.000,      -2290.000,  128,  808
      10675.000,      -2290.000,  129,  808
      12615.000,      -2290.000,  323,  808
      10685.000,      -2280.000,  130,  809
      10695.000,      -2280.000,  131,  809
      12595.000,      -2280.000,  321,  809
      12605.000,      -2280.000,  322,  809
      10705.000,      -2270.000,  132,  810
      10715.000,      -2270.000,  133,  810
      12585.000,      -2270.000,  320,  810
      10725.000,      -2260.000,  134,  811
      10735.000,      -2260.000,  135,  811
      12565.000,      -2260.000,  318,  811
      12575.000,      -2260.000,  319,  811
      10745.000,      -2250.000,  136,  812
      10755.000,      -2250.000,  137,  812
      10765.000,      -2250.000,  138,  812
      12555.000,      -2250.000,  317,  812
      10775.000,      -2240.000,  139,  813
      10785.000,      -2240.000,  140,  813
      12535.000,      -2240.000,  315,  813
      12545.000,      -2240.000,  316,  813
      10795.000,      -2230.000,  141,  814
      10805.000,      -2230.000,  142,  814
      12515.000,      -2230.000,  313,  814
      12525.000,      -2230.000,  314,  814
      10815.000,      -2220.000,  143,  815
      10825.000,      -2220.000,  144,  815
