         435
x,y,i,j
      11145.000,      -8990.000,  176,  138
      11135.000,      -8970.000,  175,  140
      11125.000,      -8950.000,  174,  142
      11115.000,      -8940.000,  173,  143
      11105.000,      -8920.000,  172,  145
      11095.000,      -8900.000,  171,  147
      11085.000,      -8890.000,  170,  148
      11075.000,      -8870.000,  169,  150
      11065.000,      -8850.000,  168,  152
      11055.000,      -8840.000,  167,  153
      11045.000,      -8820.000,  166,  155
      11035.000,      -8800.000,  165,  157
      11025.000,      -8780.000,  164,  159
      11015.000,      -8770.000,  163,  160
      11005.000,      -8750.000,  162,  162
      12695.000,      -8740.000,  331,  163
      10995.000,      -8730.000,  161,  164
      10985.000,      -8720.000,  160,  165
      10975.000,      -8700.000,  159,  167
      10965.000,      -8680.000,  158,  169
      10955.000,      -8670.000,  157,  170
      12705.000,      -8670.000,  332,  170
      10945.000,      -8650.000,  156,  172
      10935.000,      -8630.000,  155,  174
      10925.000,      -8620.000,  154,  175
      10915.000,      -8600.000,  153,  177
      12715.000,      -8590.000,  333,  178
      10905.000,      -8580.000,  152,  179
      10895.000,      -8560.000,  151,  181
      10885.000,      -8550.000,  150,  182
      10875.000,      -8530.000,  149,  184
      12725.000,      -8520.000,  334,  185
      10865.000,      -8510.000,  148,  186
      10855.000,      -8500.000,  147,  187
      10845.000,      -8480.000,  146,  189
      10835.000,      -8460.000,  145,  191
      10825.000,      -8450.000,  144,  192
      12735.000,      -8440.000,  335,  193
      10815.000,      -8430.000,  143,  194
      10805.000,      -8410.000,  142,  196
      10795.000,      -8400.000,  141,  197
      10785.000,      -8380.000,  140,  199
      12745.000,      -8370.000,  336,  200
      10775.000,      -8360.000,  139,  201
      10765.000,      -8350.000,  138,  202
      10755.000,      -8330.000,  137,  204
      10745.000,      -8310.000,  136,  206
      10735.000,      -8290.000,  135,  208
      12755.000,      -8290.000,  337,  208
      10725.000,      -8280.000,  134,  209
      10715.000,      -8260.000,  133,  211
      10705.000,      -8240.000,  132,  213
      10695.000,      -8230.000,  131,  214
      12765.000,      -8220.000,  338,  215
      10685.000,      -8210.000,  130,  216
      10675.000,      -8190.000,  129,  218
      10665.000,      -8180.000,  128,  219
      10655.000,      -8160.000,  127,  221
      12775.000,      -8150.000,  339,  222
      10645.000,      -8140.000,  126,  223
      10635.000,      -8130.000,  125,  224
      10625.000,      -8110.000,  124,  226
      12785.000,      -8100.000,  340,  227
      10615.000,      -8090.000,  123,  228
      10605.000,      -8070.000,  122,  230
      10595.000,      -8050.000,  121,  232
      12795.000,      -8040.000,  341,  233
      10585.000,      -8030.000,  120,  234
      10575.000,      -8010.000,  119,  236
      10565.000,      -7990.000,  118,  238
      12805.000,      -7990.000,  342,  238
      10555.000,      -7970.000,  117,  240
      10545.000,      -7960.000,  116,  241
      10535.000,      -7940.000,  115,  243
      12815.000,      -7940.000,  343,  243
      10525.000,      -7920.000,  114,  245
      10515.000,      -7900.000,  113,  247
      10505.000,      -7880.000,  112,  249
      12825.000,      -7880.000,  344,  249
      10495.000,      -7860.000,  111,  251
      10485.000,      -7840.000,  110,  253
      12835.000,      -7830.000,  345,  254
      10475.000,      -7820.000,  109,  255
      10465.000,      -7800.000,  108,  257
      10455.000,      -7780.000,  107,  259
      12845.000,      -7780.000,  346,  259
      10445.000,      -7760.000,  106,  261
      10435.000,      -7740.000,  105,  263
      10425.000,      -7720.000,  104,  265
      12855.000,      -7720.000,  347,  265
      10415.000,      -7710.000,  103,  266
      10405.000,      -7690.000,  102,  268
      10395.000,      -7670.000,  101,  270
      12865.000,      -7670.000,  348,  270
      10385.000,      -7650.000,  100,  272
      10375.000,      -7630.000,   99,  274
      12875.000,      -7620.000,  349,  275
      10365.000,      -7610.000,   98,  276
      10355.000,      -7590.000,   97,  278
      10345.000,      -7570.000,   96,  280
      12885.000,      -7560.000,  350,  281
      10335.000,      -7550.000,   95,  282
      10325.000,      -7530.000,   94,  284
      10315.000,      -7510.000,   93,  286
      12895.000,      -7510.000,  351,  286
      10305.000,      -7490.000,   92,  288
      10295.000,      -7470.000,   91,  290
      10285.000,      -7460.000,   90,  291
      12905.000,      -7460.000,  352,  291
      10275.000,      -7440.000,   89,  293
      10265.000,      -7420.000,   88,  295
      10255.000,      -7400.000,   87,  297
      12915.000,      -7400.000,  353,  297
