 x(s(i)),y(s(i)),s(i),i
    13725.00000,    -9795.00000, 1596,  150
    12645.00000,    -9735.00000, 1613,  151
    13215.00000,    -9735.00000, 1618,  152
    11895.00000,    -9675.00000, 1628,  153
    12465.00000,    -9675.00000, 1634,  154
    13365.00000,    -9675.00000, 1638,  155
    13185.00000,    -9645.00000, 1650,  156
    13725.00000,    -9645.00000, 1654,  157
    12795.00000,    -9615.00000, 1658,  158
    12945.00000,    -9615.00000, 1659,  159
    13035.00000,    -9615.00000, 1661,  160
    12615.00000,    -9585.00000, 1672,  161
    13425.00000,    -9585.00000, 1674,  162
    13725.00000,    -9585.00000, 1678,  163
    12015.00000,    -9465.00000, 1717,  164
    13155.00000,    -9465.00000, 1725,  165
    12225.00000,    -9435.00000, 1734,  166
    13365.00000,    -9435.00000, 1741,  167
    13575.00000,    -9435.00000, 1744,  168
    13695.00000,    -9435.00000, 1745,  169
    12465.00000,    -9405.00000, 1753,  170
    13065.00000,    -9405.00000, 1758,  171
    12825.00000,    -9375.00000, 1764,  172
    13185.00000,    -9375.00000, 1765,  173
    13545.00000,    -9375.00000, 1766,  174
    12645.00000,    -9345.00000, 1769,  175
    12045.00000,    -9255.00000, 1776,  176
    11925.00000,    -9195.00000, 1784,  177
    12465.00000,    -9195.00000, 1788,  178
    12105.00000,    -9135.00000, 1795,  179
    12555.00000,    -9105.00000, 1799,  180
    12255.00000,    -9045.00000, 1808,  181
    12435.00000,    -8985.00000, 1818,  182
    11775.00000,    -8925.00000, 1824,  183
    12105.00000,    -8925.00000, 1827,  184
    12285.00000,    -8895.00000, 1835,  185
    12495.00000,    -8865.00000, 1842,  186
    11925.00000,    -8595.00000, 1883,  187
    11955.00000,    -8595.00000, 1884,  188
    12105.00000,    -8535.00000, 1894,  189
    11985.00000,    -8415.00000, 1909,  190
    11805.00000,    -8325.00000, 1921,  191
    11535.00000,    -8235.00000, 1931,  192
    11925.00000,    -8205.00000, 1938,  193
    11955.00000,    -8115.00000, 1952,  194
    11595.00000,    -8055.00000, 1960,  195
    11715.00000,    -7905.00000, 1990,  196
    11535.00000,    -7725.00000, 2020,  197
    11865.00000,    -7695.00000, 2028,  198
    11745.00000,    -7635.00000, 2040,  199
    11835.00000,    -7485.00000, 2067,  200
    11385.00000,    -7335.00000, 2088,  201
    11895.00000,    -7335.00000, 2092,  202
    11565.00000,    -7185.00000, 2118,  203
    11865.00000,    -7155.00000, 2127,  204
    11775.00000,    -7065.00000, 2143,  205
    11925.00000,    -7005.00000, 2156,  206
    11385.00000,    -6945.00000, 2164,  207
    11715.00000,    -6795.00000, 2193,  208
    12075.00000,    -6765.00000, 2203,  209
    12045.00000,    -6615.00000, 2224,  210
    11805.00000,    -6495.00000, 2233,  211
    11955.00000,    -6405.00000, 2245,  212
    11955.00000,    -6225.00000, 2263,  213
    11685.00000,    -6015.00000, 2275,  214
    11865.00000,    -5955.00000, 2282,  215
    11955.00000,    -5925.00000, 2286,  216
    12075.00000,    -5865.00000, 2292,  217
    11655.00000,    -5805.00000, 2296,  218
    12165.00000,    -5745.00000, 2308,  219
    11745.00000,    -5505.00000, 2329,  220
    11655.00000,    -5475.00000, 2332,  221
    12075.00000,    -5475.00000, 2335,  222
    11985.00000,    -5415.00000, 2344,  223
    12015.00000,    -5265.00000, 2360,  224
    12225.00000,    -5175.00000, 2373,  225
