   id           z           h           u           q          cc          cf         rho           e        zini       grd_w          hs          qs          sf       hsc/d        ifld             qa           qcca           qcfa
   32    73.62300     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    73.62300    -0.09489     1.00000     0.00001     0.27242     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   33    74.69800     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    74.69800    -0.10750     1.00000     0.00001     0.30860     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   34    75.74400     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    75.74400    -0.07396     1.00000     0.00001     0.21233     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   35    76.56500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    76.56500    -0.08210     1.00000     0.00001     0.23569     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   36    77.94700     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    77.94700    -0.09772     1.00000     0.00001     0.28054     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   37    79.43500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    79.43500    -0.10522     1.00000     0.00001     0.30205     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   38    80.84200     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    80.84200    -0.09949     1.00000     0.00001     0.28561     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   39    81.52500     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    81.52500    -0.06830     1.00000     0.00001     0.19607     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   40    82.19000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    82.19000    -0.04702     1.00000     0.00000     0.13499     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
   41    82.60000     0.00000     0.00000     0.00000     0.00000     0.00000  1000.00000     0.00000    82.60000    -0.04100     1.00000     0.00000     0.11770     1.00000           1   0.00000E+000   0.00000E+000   0.00000E+000
