lon,lat,x,y
130.714039,33.388584,-26603.564020,43129.282703
130.717165,33.388584,-26312.787783,43128.488416
130.720290,33.388584,-26022.011577,43127.702859
130.723416,33.388584,-25731.235401,43126.926032
130.726541,33.388584,-25440.459257,43126.157934
130.729667,33.388584,-25149.683142,43125.398565
130.732793,33.388584,-24858.907057,43124.647926
130.735918,33.388584,-24568.131001,43123.906016
130.739044,33.388584,-24277.354974,43123.172836
130.742169,33.388584,-23986.578977,43122.448384
130.745295,33.388584,-23695.803007,43121.732663
130.748420,33.388584,-23405.027066,43121.025670
130.751546,33.388584,-23114.251152,43120.327407
130.754671,33.388584,-22823.475266,43119.637874
130.757797,33.388584,-22532.699406,43118.957069
130.760922,33.388584,-22241.923574,43118.284994
130.764048,33.388584,-21951.147767,43117.621649
130.767173,33.388584,-21660.371987,43116.967033
130.770299,33.388584,-21369.596232,43116.321146
130.773424,33.388584,-21078.820502,43115.683988
130.776550,33.388584,-20788.044798,43115.055560
130.779676,33.388584,-20497.269118,43114.435861
130.782801,33.388584,-20206.493462,43113.824891
130.785927,33.388584,-19915.717830,43113.222650
130.789052,33.388584,-19624.942222,43112.629139
130.792178,33.388584,-19334.166637,43112.044357
130.795303,33.388584,-19043.391075,43111.468305
130.798429,33.388584,-18752.615535,43110.900981
130.801554,33.388584,-18461.840018,43110.342387
130.804680,33.388584,-18171.064522,43109.792522
130.807805,33.388584,-17880.289048,43109.251387
130.810931,33.388584,-17589.513595,43108.718980
130.814056,33.388584,-17298.738163,43108.195303
130.817182,33.388584,-17007.962751,43107.680356
130.820307,33.388584,-16717.187359,43107.174137
130.823433,33.388584,-16426.411988,43106.676648
130.826559,33.388584,-16135.636635,43106.187887
130.829684,33.388584,-15844.861302,43105.707856
130.832810,33.388584,-15554.085988,43105.236555
130.835935,33.388584,-15263.310691,43104.773982
130.839061,33.388584,-14972.535413,43104.320139
130.714039,33.390667,-26602.929656,43360.238162
130.717165,33.390667,-26312.160353,43359.443851
130.720290,33.390667,-26021.391080,43358.658269
130.723416,33.390667,-25730.621839,43357.881417
130.726541,33.390667,-25439.852628,43357.113295
130.729667,33.390667,-25149.083447,43356.353903
130.732793,33.390667,-24858.314295,43355.603240
130.735918,33.390667,-24567.545173,43354.861307
130.739044,33.390667,-24276.776081,43354.128103
130.742169,33.390667,-23986.007016,43353.403630
130.745295,33.390667,-23695.237981,43352.687886
130.748420,33.390667,-23404.468973,43351.980871
130.751546,33.390667,-23113.699993,43351.282586
130.754671,33.390667,-22822.931040,43350.593031
130.757797,33.390667,-22532.162114,43349.912205
130.760922,33.390667,-22241.393215,43349.240109
130.764048,33.390667,-21950.624343,43348.576743
130.767173,33.390667,-21659.855496,43347.922106
130.770299,33.390667,-21369.086675,43347.276199
130.773424,33.390667,-21078.317879,43346.639021
130.776550,33.390667,-20787.549108,43346.010573
130.779676,33.390667,-20496.780361,43345.390855
130.782801,33.390667,-20206.011639,43344.779866
130.785927,33.390667,-19915.242941,43344.177607
130.789052,33.390667,-19624.474266,43343.584077
130.792178,33.390667,-19333.705615,43342.999277
130.795303,33.390667,-19042.936986,43342.423206
130.798429,33.390667,-18752.168380,43341.855865
130.801554,33.390667,-18461.399796,43341.297254
130.804680,33.390667,-18170.631234,43340.747372
130.807805,33.390667,-17879.862694,43340.206219
130.810931,33.390667,-17589.094175,43339.673796
130.814056,33.390667,-17298.325676,43339.150103
130.817182,33.390667,-17007.557198,43338.635139
130.820307,33.390667,-16716.788740,43338.128904
130.823433,33.390667,-16426.020302,43337.631399
130.826559,33.390667,-16135.251883,43337.142624
130.829684,33.390667,-15844.483483,43336.662578
130.832810,33.390667,-15553.715102,43336.191261
130.835935,33.390667,-15262.946740,43335.728674
130.839061,33.390667,-14972.178395,43335.274817
130.714039,33.392749,-26602.295257,43591.193698
130.717165,33.392749,-26311.532888,43590.399362
130.720290,33.392749,-26020.770550,43589.613756
130.723416,33.392749,-25730.008242,43588.836880
130.726541,33.392749,-25439.245965,43588.068734
130.729667,33.392749,-25148.483718,43587.309318
130.732793,33.392749,-24857.721501,43586.558632
130.735918,33.392749,-24566.959313,43585.816675
130.739044,33.392749,-24276.197154,43585.083449
130.742169,33.392749,-23985.435024,43584.358952
130.745295,33.392749,-23694.672923,43583.643186
130.748420,33.392749,-23403.910849,43582.936149
130.751546,33.392749,-23113.148803,43582.237843
130.754671,33.392749,-22822.386784,43581.548266
130.757797,33.392749,-22531.624793,43580.867419
130.760922,33.392749,-22240.862828,43580.195302
130.764048,33.392749,-21950.100889,43579.531915
130.767173,33.392749,-21659.338976,43578.877257
130.770299,33.392749,-21368.577089,43578.231330
130.773424,33.392749,-21077.815227,43577.594132
130.776550,33.392749,-20787.053390,43576.965665
130.779676,33.392749,-20496.291578,43576.345927
130.782801,33.392749,-20205.529790,43575.734919
130.785927,33.392749,-19914.768026,43575.132641
130.789052,33.392749,-19624.006285,43574.539093
130.792178,33.392749,-19333.244567,43573.954274
130.795303,33.392749,-19042.482873,43573.378185
130.798429,33.392749,-18751.721201,43572.810826
130.801554,33.392749,-18460.959551,43572.252197
130.804680,33.392749,-18170.197923,43571.702298
130.807805,33.392749,-17879.436316,43571.161129
130.810931,33.392749,-17588.674731,43570.628689
130.814056,33.392749,-17297.913166,43570.104979
130.817182,33.392749,-17007.151622,43569.589999
130.820307,33.392749,-16716.390098,43569.083749
130.823433,33.392749,-16425.628594,43568.586228
130.826559,33.392749,-16134.867109,43568.097438
130.829684,33.392749,-15844.105643,43567.617377
130.832810,33.392749,-15553.344196,43567.146045
130.835935,33.392749,-15262.582768,43566.683444
130.839061,33.392749,-14971.821357,43566.229572
130.714039,33.394832,-26601.660823,43822.149312
130.717165,33.394832,-26310.905388,43821.354951
130.720290,33.394832,-26020.149985,43820.569321
130.723416,33.394832,-25729.394612,43819.792420
130.726541,33.394832,-25438.639269,43819.024250
130.729667,33.394832,-25147.883957,43818.264810
130.732793,33.394832,-24857.128674,43817.514101
130.735918,33.394832,-24566.373420,43816.772121
130.739044,33.394832,-24275.618196,43816.038872
130.742169,33.394832,-23984.863001,43815.314353
130.745295,33.394832,-23694.107833,43814.598564
130.748420,33.394832,-23403.352694,43813.891505
130.751546,33.394832,-23112.597583,43813.193176
130.754671,33.394832,-22821.842498,43812.503578
130.757797,33.394832,-22531.087441,43811.822710
130.760922,33.394832,-22240.332411,43811.150572
130.764048,33.394832,-21949.577406,43810.487164
130.767173,33.394832,-21658.822428,43809.832486
130.770299,33.394832,-21368.067475,43809.186538
130.773424,33.394832,-21077.312548,43808.549321
130.776550,33.394832,-20786.557645,43807.920834
130.779676,33.394832,-20495.802767,43807.301076
130.782801,33.394832,-20205.047914,43806.690049
130.785927,33.394832,-19914.293084,43806.087752
130.789052,33.394832,-19623.538277,43805.494185
130.792178,33.394832,-19332.783494,43804.909349
130.795303,33.394832,-19042.028734,43804.333242
130.798429,33.394832,-18751.273996,43803.765865
130.801554,33.394832,-18460.519281,43803.207219
130.804680,33.394832,-18169.764587,43802.657302
130.807805,33.394832,-17879.009915,43802.116116
130.810931,33.394832,-17588.255264,43801.583660
130.814056,33.394832,-17297.500634,43801.059933
130.817182,33.394832,-17006.746024,43800.544937
130.820307,33.394832,-16715.991434,43800.038671
130.823433,33.394832,-16425.236864,43799.541135
130.826559,33.394832,-16134.482314,43799.052329
130.829684,33.394832,-15843.727782,43798.572253
130.832810,33.394832,-15552.973270,43798.100907
130.835935,33.394832,-15262.218775,43797.638291
130.839061,33.394832,-14971.464299,43797.184405
130.714039,33.396914,-26601.026354,44053.105004
130.717165,33.396914,-26310.277854,44052.310618
130.720290,33.396914,-26019.529385,44051.524963
130.723416,33.396914,-25728.780947,44050.748038
130.726541,33.396914,-25438.032539,44049.979844
130.729667,33.396914,-25147.284162,44049.220380
130.732793,33.396914,-24856.535814,44048.469647
130.735918,33.396914,-24565.787495,44047.727644
130.739044,33.396914,-24275.039206,44046.994372
130.742169,33.396914,-23984.290945,44046.269830
130.745295,33.396914,-23693.542713,44045.554019
130.748420,33.396914,-23402.794508,44044.846938
130.751546,33.396914,-23112.046332,44044.148588
